ASIN,ASIN,Brand,Title,Category,URL,SalesRank,US_brand_url,JP_brand_url,US_brand_link,JP_brand_link
B084CQ41M2,B084CQ41M2,Fitbit,"Fitbit Charge 4 Fitness and Activity Tracker with Built-in GPS, Heart Rate, Sleep & Swim Tracking, Black/Black, One Size (S &L Bands Included)","Sports & Outdoors,Sports & Fitness,Exercise & Fitness,Fitness Technology,Activity & Fitness Trackers",https://www.amazon.com/Fitbit-Fitness-Activity-Tracking-Included/dp/B084CQ41M2/ref=sr_1_1?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-1,5,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AFitbit,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AFitbit,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AFitbit><div>Fitbit</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AFitbit><div>Fitbit</div></a>"
B073XR4X72,B073XR4X72,Command,"Command Large Picture Hanging Strips Heavy Duty, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging","Tools & Home Improvement,Hardware,Picture Hangers",https://www.amazon.com/Command-Picture-Decorate-Damage-Free-PH206-14NA/dp/B073XR4X72/ref=sr_1_2?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-2,9,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ACommand,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ACommand,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ACommand><div>Command</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ACommand><div>Command</div></a>"
B00B6A6XOK,B00B6A6XOK,Band-Aid,"Band-Aid Brand Flexible Fabric Adhesive Bandages for Wound Care & First Aid, Assorted Sizes, 100 ct, Beige","Health & Household,Health Care,First Aid,Bandages & Bandaging Supplies,Adhesive Bandages",https://www.amazon.com/Band-Aid-Flexible-Adhesive-Bandages-Assorted/dp/B00B6A6XOK/ref=sr_1_3?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-3,0,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ABand-Aid,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ABand-Aid,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ABand-Aid><div>Band-Aid</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ABand-Aid><div>Band-Aid</div></a>"
B0055OUOQQ,B0055OUOQQ,Qunol,"Qunol Ultra CoQ10 100mg, 3x Better Absorption, Patented Water and Fat Soluble Natural Supplement Form of Coenzyme Q10, Antioxidant for Heart Health, 120 Count Softgels","Health & Household,Vitamins & Dietary Supplements,Supplements,Antioxidants,CoQ10",https://www.amazon.com/Qunol-Absorption-Patented-Supplement-Antioxidant/dp/B0055OUOQQ/ref=sr_1_4?dchild=1&amp;qid=1623799879&amp;rdc=1&amp;s=sporting-goods&amp;sr=1-4,91,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AQunol,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AQunol,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AQunol><div>Qunol</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AQunol><div>Qunol</div></a>"
B005UEB96K,B005UEB96K,Aquaphor,"Aquaphor Baby Healing Ointment - Advance Therapy for Diaper Rash, Chapped Cheeks and Minor Scrapes - 14 Oz Jar","Baby Products,Baby Care,Grooming,Skin Care,Lotions",https://www.amazon.com/Aquaphor-Baby-Healing-Ointment-Advance/dp/B005UEB96K/ref=sr_1_5?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-5,17,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AAquaphor,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AAquaphor,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AAquaphor><div>Aquaphor</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AAquaphor><div>Aquaphor</div></a>"
B01AVDVHTI,B01AVDVHTI,Fit Simplify,Fit Simplify Resistance Loop Exercise Bands,"Sports & Outdoors,Sports & Fitness,Exercise & Fitness,Accessories,Exercise Bands & Tubes,Resistance Loop Bands",https://www.amazon.com/Fit-Simplify-Resistance-Exercise-Instruction/dp/B01AVDVHTI/ref=sr_1_6?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-6,40,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AFit+Simplify,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AFit+Simplify,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AFit+Simplify><div>Fit Simplify</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AFit+Simplify><div>Fit Simplify</div></a>"
B00HA2ZKCO,B00HA2ZKCO,Sport-Brella,Sport-Brella Versa-Brella SPF 50+ Adjustable Umbrella with Universal Clamp,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Camping Shelters,Sun Shelters",https://www.amazon.com/Sport-Brella-Versa-Brella-Swiveling-Umbrella-Midnight/dp/B00HA2ZKCO/ref=sr_1_7?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-7,10,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ASport-Brella,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ASport-Brella,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ASport-Brella><div>Sport-Brella</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ASport-Brella><div>Sport-Brella</div></a>"
B074NZY3SQ,B074NZY3SQ,AGPTEK,"Electric Air Pump, AGPtEK Portable Quick-Fill Air Pump with 3 Nozzles, 110V AC/12V DC, Perfect Inflator/Deflator Pumps for Outdoor Camping, Inflatable Cushions, Air Mattress Beds, Boats, Swimming Ring","Home & Kitchen,Bedding,Air Mattresses & Accessories,Pumps",https://www.amazon.com/Electric-Portable-Quick-Fill-Inflator-Inflatable/dp/B074NZY3SQ/ref=sr_1_8?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-8,67,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AAGPTEK,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AAGPTEK,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AAGPTEK><div>AGPTEK</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AAGPTEK><div>AGPTEK</div></a>"
B07QGRWZNB,B07QGRWZNB,GearLight,"GearLight LED Headlamp Flashlight S500 [2 Pack] - Running, Camping, and Outdoor Headlight Headlamps - Head Lamp with Red Safety Light for Adults and Kids","Tools & Home Improvement,Safety & Security,Flashlights,Hands Free Flashlights & Headlamps,Headlamps",https://www.amazon.com/GearLight-Headlamp-Flashlight-S500-PACK/dp/B07QGRWZNB/ref=sr_1_9?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-9,23,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AGearLight,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AGearLight,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3AGearLight><div>GearLight</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3AGearLight><div>GearLight</div></a>"
B07P2F2YHT,B07P2F2YHT,DEGOL,"DEGOL Skipping Rope with Ball Bearings Rapid Speed Jump Rope Cable and 6” Memory Foam Handles Ideal for Aerobic Exercise Like Speed Training, Extreme Jumping, Endurance Training and Fitness Gym","Sports & Outdoors,Sports & Fitness,Exercise & Fitness,Accessories,Jump Ropes",https://www.amazon.com/DEGOL-Skipping-Tangle-Free-Bearings-Endurance/dp/B07P2F2YHT/ref=sr_1_10?dchild=1&amp;qid=1623799879&amp;s=sporting-goods&amp;sr=1-10,66,https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ADEGOL,https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ADEGOL,"<a target=""_blank"" href=https://www.amazon.com/s?rh=n%3A3375251%2Cp_89%3ADEGOL><div>DEGOL</div></a>","<a target=""_blank"" href=https://www.amazon.co.jp/s?rh=n%3A14304371%2Cp_89%3ADEGOL><div>DEGOL</div></a>"
